2025-12-02 02:46:08 [LEO Monitor] Polling started. Interval=1.0s
2025-12-02 02:48:11 Window 013 | Rate:     0.00 Bps | EWMA:    19.74 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:12 Window 014 | Rate:     0.00 Bps | EWMA:    17.76 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:13 Window 015 | Rate:     0.00 Bps | EWMA:    15.99 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:14 Window 016 | Rate:     0.00 Bps | EWMA:    14.39 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:15 Window 017 | Rate:     0.00 Bps | EWMA:    12.95 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:16 Window 018 | Rate:     0.00 Bps | EWMA:    11.66 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:17 Window 019 | Rate:     0.00 Bps | EWMA:    10.49 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:18 Window 020 | Rate:     0.00 Bps | EWMA:     9.44 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:19 Window 021 | Rate:     0.00 Bps | EWMA:     8.50 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:20 Window 022 | Rate:     0.00 Bps | EWMA:     7.65 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:21 Window 023 | Rate:     0.00 Bps | EWMA:     6.88 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:22 Window 024 | Rate:     0.00 Bps | EWMA:     6.19 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:23 Window 025 | Rate:     0.00 Bps | EWMA:     5.57 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:24 Window 026 | Rate:     0.00 Bps | EWMA:     5.02 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:25 Window 027 | Rate:     0.00 Bps | EWMA:     4.52 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:26 Window 028 | Rate:     0.00 Bps | EWMA:     4.06 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
